,Medicines,Uses
76,Comfrey,"Traditional/Ethnobotanical usesComfrey has been cultivated as a green vegetable and has been used as an herbal medicine for more than 2,000 years. Comfrey's original name, knitbone, derives from the external use of poultices of its leaves and roots to heal burns, sprains, swelling, and bruises. In Western Europe, comfrey has been used topically for treating inflammatory disorders such as arthritis, gout, and thrombophlebitis, and internally for treating diarrhea. Comfrey has been claimed to heal gastric ulcers and hemorrhoids, and to suppress bronchial congestion and inflammation. Commercial comfrey sale and distribution is restricted in Germany and Canada because of its substantial toxicity.General usesTherapeutic use of comfrey is limited because of its toxicity. A limited number of clinical trials show short-term efficacy of topically applied, alkaloid-free comfrey preparations in skin abrasions and inflammatory conditions. Although not examined in clinical trials, comfrey may possess antifungal and anticancer activity."
77,Cordyceps,"
Cordyceps is a fungus. It is used by some people as a medicine. Science does not support the use of this product for any health problem."
78,Crampbark,"Traditional/Ethnobotanical usesThe American variety was used by the Iroquois for prolapsed uterus after childbirth, and other tribes recognized its use as a diuretic. The Eclectic medical movement in the 19th century adopted cramp bark for dysmenorrhea and to prevent miscarriage. It was believed to be a stronger antispasmodic than the related Viburnum species V. prunifolium (black haw). The bark was made official in the U.S. Pharmacopeia in 1894 and was included in the National Formulary in 1916. Widespread adulteration by mountain maple (Acer spicatum) and other Viburnum species led to confusion about the correct source plant. A later review surveyed the botanical, chemical, and pharmacological differences between black haw and cramp bark.Uterine relaxantCramp bark has been used for painful menstruation and to prevent miscarriage. Animal studies show that cramp bark relaxes uterine tissues. However, no clinical studies examining efficacy in humans have been performed."
79,Cranberry,"
Cranberry is used by some people to help prevent urinary tract infections."
80,Creatine,"
Creatine is used by some people to enhance their sports performance. Some use it to build muscle mass. Others use creatine to give them extra energy. Creatine may be used to help with muscle and nerve diseases like muscular dystrophy or Parkinson's. It is used by some people to treat problems such as heart failure, low mood, or bipolar disorder."
81,Cumin,"Traditional/Ethnobotanical usesTraditional uses of cumin include to reduce inflammation, increase urination, prevent gas, and suppress muscle spasms. It has also been used as an aid for indigestion, jaundice, diarrhea, and flatulence. Cumin powder has been used as a poultice and suppository, and has been smoked in a pipe and taken orally.Cumin is a major component of curry and chili powders and has been used to flavor a variety of commercial food products. The oil, which is derived by steam distillation, is used to flavor alcoholic beverages, desserts, and condiments. It is also used as a fragrant component of creams, lotions, and perfumes.General usesCumin seeds are used in cooking and the oil is used to flavor food and scent cosmetics. Components may have antioxidant, anticancer, antibacterial, and larvicidal effects. Cumin may lower blood sugar, reduce seizures, strengthen bones, and treat the eye; however, there is no clinical evidence to support these claims. Cumin is generally recognized as safe for human consumption as a spice and flavoring."
82,Damiana,"Traditional/Ethnobotanical usesThe scientific literature on the plant dates back more than 100 years when reports described its aphrodisiac effects. Damiana history began with its early use by the Maya (under the name mizibcoc) in the treatment of giddiness and loss of balance. Its primary use in the last century has been as an aphrodisiac. Father Juan Maria de Salvatierra, a Spanish missionary, first reported that the Mexican Indians made a drink from the damiana leaves, added sugar and drank it for its love-enhancing properties. In the 1870s, it was imported into the US as a tincture and advertised as a powerful aphrodisiac, to improve the sexual ability of the enfeebled and the aged and to provide increased activity to all the pelvic secretions. Suffice to say that in this patent medicine era, it enjoyed some success.Damiana was admitted into the first edition of the National Formulary (NF) in 1888 as an elixir and fluid extract. However, it never made it into the US Pharmacopeia and the elixir finally was dropped from the NF in 1916. The fluid extract and the crude drug (leaves) were listed in the NF until 1947. Although some commercial companies continued to sell it to the American market, damiana had almost disappeared until the 1960s ""hippy"" movement brought it back into popularity.Aphrodesiac/HallucinogenToday, damiana has found its way into a number of herbal OTC products, in particular those claiming to induce a legal herbal ""high.""In the Caribbean, damiana leaves are boiled in water and the vapors inhaled for the relief of headaches. Teas are said to aid in the control of bed wetting. No substantive data is available to support the aphrodisiac effects of damiana. Although it has been postulated that the plant may contain the central nervous system stimulant caffeine, the aphrodisiac effect has not been attributed to any specific components. The volatile oil in damiana might be sufficiently irritating to the urethral mucous membranes to account for its so-called aphrodisiac effects.Despite containing a complex mixture of components, there is no evidence to support claims for a hallucinogenic effect."
83,Dandelion,"
Dandelion is a green leafy plant that can be eaten. It provides many nutrients and some people use it as medicine. Science does not support the use of this product for any health problem."
84,Danshen,"Traditional/Ethnobotanical usesDanshen is considered one of the most important traditional Chinese medicines and has widespread use in Asian countries. Traditionally, danshen has been used to improve bodily functioning, as well as to treat bleeding, abnormal menstruation, miscarriage, swelling, insomnia, and hepatitis. More recent uses include treatment of blood vessel/heart and brain/blood vessel conditions.General usesDanshen has been used extensively in Chinese medicine for many years. Limited studies have shown efficacy in coronary artery disease and stroke, but the quality of study methods limits the validity of the findings."
85,Deer Velvet,"Traditional/Ethnobotanical usesThe word antler is derived from the Latin Anteoculae, meaning ""in front of the eyes."" Antlers are present in almost all members of the deer family Cervidae. The first documented evidence of deer velvet as a medicinal was found on a scroll recovered from a tomb in Hunan China dating back 2000 years. The use of antler dates back to the Han Dynasty 206 BC to 220 AD. A 16th century medical text, Pen Ts'ao Kang Mu, lists several antler preparations including pills, tinctures, and ointments. In traditional Chinese medicine, velvet antler has been used for over 2000 years as a tonic, to improve bone health, to nourish the blood, reduce swelling, and to treat impotence. Later research on deer antler dates back to the 1980s in Russia. Hundreds of articles since have been published including those documented by Chinese, Korean, and Japanese scientists.In Chinese medicine, deer velvet has been used to treat impotence, female disorders, urinary problems, skin ailments, and knee weakness. It also is employed as a tonic in children with learning disabilities or insufficient growth. Koreans use antler velvet to treat anemia and impotence and to stimulate the immune system, treat impotence, improve heart function, muscle tone, lung efficiency, and nerve function.Miscellaneous usesDeer antler contains chondroitin sulfate, a compound that may help treat arthritis. Prostaglandins, also present in velvet antler, are known for their anti-inflammatory effects. Other therapeutically valuable actions include immune stimulation, anti-aging, protective and rejuvenating effects, and beneficial effects in blood and circulation. Research reveals no clinical data at this time regarding the therapeutic benefits of deer antler."
86,Dehydroepiandrosterone,"
Dehydroepiandrosterone is a hormone and is also called DHEA. It is used by some people to help with low mood. Some older women may use DHEA applied inside the vagina to decrease pain during sex. Others may use is to improve skin problems related to aging."
87,Devil's Claw,"
Devil's claw is used by some people to help with pain related to swelling that is often found in arthritis. It may also be used to treat low back pain."
88,Dolomite,"NutritionalDolomite long has been used as a source of calcium and magnesium for animal feeds. Dolomite now is available in a number of dosage forms including tablets and chewable wafers, to be taken as dietary supplements. In animal models, minerals from dolomite are well absorbed. Research reveals no animal or clinical data regarding the use of dolomite as a magnesium and calcium supplement."
89,Dong Quai,"
Dong quai is used by some people as medicine. Science does not support the use of this product for any health problem."
90,Dragon's Blood,"


Traditional/Ethnobotanical usesSangre de grado, Spanish for ""blood of the dragon,"" has a long history of use for both the bark and the resin. An early reference dating back to the 1600s notes that Spanish explorer P. Bernabe Cobo found the sap was being used by indigenous tribes throughout Peru and Ecuador. C. lechleri resin and bark are used in traditional medicine in South America. They used it internally and externally to stop bleeding, help heal wounds, and treat intestinal problems. Studies regarding this plant date back to the late 1970s. Preparations made from dragon's blood are found in several pharmaceutical products, some of them patentedWound-healer/AntiviralDragon's blood has been used for its antiviral and wound-healing effects. Taspine, a component of dragon's blood, has been documented to have anti-inflammatory and wound-healing actions. Taspine and a proanthocyanidin component also have been shown to have antiviral activities. Animal and laboratory tests have shown some promise for the use of dragon's blood for these medicinal effects. To date, there are no human clinical studies verifying these effects.GI effectsDragon's blood also plays a role in GI health. Practitioners are reporting it beneficial for stomach ulcers, ulcerative colitis, and Crohn's disease when taken internally. Preparations made from dragon's blood are found in several pharmaceutical products, some of them patented. A patent describing use of the proanthocyanidin polymer from croton species (SP-303) as an antidiarrheal was issued to Shaman Pharmaceuticals, Inc. USA. A clinical trial of the principal ingredient (SP-303) in patients with HIV-associated diarrhea demonstrated beneficial effects. This important ""rainforest resource"" has several uses that have been validated by several studies."
91,Echinacea,"
Echinacea is used by some people to treat or prevent the common cold. This is sometimes called an upper respiratory infection. Others use it to prevent vaginal yeast infections or other kinds of infection. Some people use echinacea to treat skin problems like acne or boils. It may be used to boost the immune system, for cancer, anxiety, or to limit swelling."
92,Elderberry,"
Elderberry is used by some people as medicine. Science does not support the use of this product for any health problem."
93,Eleutherococcus,"
Eleutherococcus is used by some people to help with certain mood problems. Others feel it may help with virus infections like the common cold or herpes simplex. Some people may use this product to lower blood sugar, diabetes."
94,Emu Oil,"


Traditional/Ethnobotanical usesThe Aboriginal people of Australia have used emu oil for centuries. The oil was collected by either hanging the emu skin from a tree or wrapping it around an affected area and allowing the heat of the sun to liquefy the emu fat to enhance absorption into the skin.Emu oil was used medicinally to treat muscle and joint problems and a variety of skin conditions. Other purported medicinal uses include the treatment of psoriasis and rheumatoid arthritis. The oil also has been used for cooking as well as for keeping leather riding tackle supple.Anti-inflammatory/Wound healingNearly all clinical and scientific studies focus on the anti-inflammatory properties of emu oil. In animal studies, the topical application of emu oil had anti-inflammatory effects comparable to oral ibuprofen. In humans, emu oil was evaluated as a lubricant and aided in reducing scar formation in healed burns. Wounds treated with emu oil also healed significantly better. However, more research is needed to fully explain the benefits of emu oil."
95,Ephedra,"
The whole ephedra plant is used by some people to help with lung problems like asthma, colds, flu, and allergies. This product can cause serious side effects. Products that have ephedra in them are banned for sale in the US."
96,Evening Primrose Oil,"
Evening primrose oil is also called EPO. Some people may use it to help with rheumatoid arthritis. Other people who have diabetes may use it to help with nerve pain that causes tingling and burning in their feet and legs."
97,Eyebright,"
Eyebright is used by some people as medicine. Science does not support the use of this product for any health problems."
98,False Unicorn,"Traditional/Ethnobotanical usesFalse unicorn root was used by the Eclectic medical movement of the late 19th and early 20th centuries. Its chief use was for ""female complaints"" or as a uterine tonic in the treatment of menstrual disorders or morning sickness. Its use in combination preparations for painful or irregular menstruation is reportedly increasing in the United States.General usesFalse unicorn also has been used for appetite stimulation and to promote production of urine, expel intestinal worms, induce vomiting, and as a mild GI tract tonic; however, clinical studies to support any of these uses are limited."
99,Fennel,"Traditional/Ethnobotanical usesAccording to Greek legend, man received knowledge from Mount Olympus in the form of a fiery coal held in a stalk of fennel. The herb was known to the ancient Chinese, Indian, Egyptian, and Greek civilizations; the Roman scholar Pliny recommended it for improving eyesight. The name foeniculum is from the Latin word for ""fragrant hay."" Fennel was in great demand during the Middle Ages. Wealthy people added the seed to fish and vegetable dishes, while the poor reserved it as an appetite suppressant to be eaten on fasting days. The plant was introduced to North America by Spanish priests and the English brought it to their early settlements in Virginia. All parts of the plant have been used for flavorings, and the stalks have been eaten as a vegetable. The seeds aid digestion. Fennel has been used to flavor candies, liqueurs, medicines, and food, and it is especially favored for pastries, sweet pickles, and fish. The oil can be used to protect stored fruits and vegetables against growth of toxic fungi. Beekeepers have grown it as a honey plant. Health claims have included its use as a purported antidote to poisonous herbs, mushrooms, and snakebites. It also has been used for the treatment of gastrointestinal inflammation, indigestion, to stimulate milk flow in breast-feeding, as an expectorant, and to induce menstruation. Tea made from crushed fennel seeds has been used as an eyewash. Powdered fennel is said to drive fleas away from kennels and stables.General usesFennel has been used as a flavoring agent, a scent, and an insect repellent, as well as an herbal remedy for poisoning and stomach conditions. It has also been used as a stimulant to promote milk flow in breast-feeding and to induce menstruation. However, clinical evidence to support the use of fennel for any indication is lacking."
100,Fenugreek,"
Fenugreek is used by some people to help lower blood sugar or cholesterol levels. Others use it to treat Parkinson's. Some people believe fenugreek helps to encourage lactation in breastfeeding women and helps with signs of menopause. Others use it to help increase appetite and reduce stomach problems like ulcers."
101,Feverfew,"
Feverfew is used by some people to help with migraine headaches."
102,Fish Oil,"
Some people use fish oil to help with heart problems like coronary artery disease. People with high triglycerides may use fish oil to lower their triglyceride levels."
103,Flax,"
Flax is used by some people as a source of fiber and as a laxative. Some people may use it to help lower blood sugar and cholesterol."
104,Fo Ti,"Traditional/Ethnobotanical usesFo-ti is a popular Chinese tonic herb, dating back to 713 AD. It is used to increase liver and kidney function and to cleanse the blood. The plant is also prescribed for symptoms of premature aging, such as gray hair, and is commonly found in hair care products in China. It is also used to treat insomnia, weak bones, constipation, and hardening and narrowing of the arteries. Regarded as a rejuvenating plant, fo-ti has been thought to prevent aging and to promote longevity. According to folklore, the older and larger roots have the most power, potentially offering mortality.General usesBecause evidence exists of liver injury in humans, P. multiflorum and its extracts should be considered toxic to the liver. However, the plant is widely used in traditional Chinese medicine and in the Ayurvedic medical system of India for its rejuvenating and toning properties, to increase liver and kidney function, for treatment of mental disorders and abnormal amounts of lipids in the blood, and to cleanse the blood. Clinical trials are lacking to support claims for therapeutic purposes, but topical applications for the treatment of baldness and in the treatment of nervous tissue diseases are being investigated."
105,Forskolin,"Traditional/Ethnobotanical usesThis species and other related species were used in many traditional medical systems. Traditional medical uses include the treatment of digestive disorders (stomachache, gastric and intestinal spasm, nausea, as a purgative), skin (burns, wounds, insect bites, allergies), infections (eg, syphilis, ringworm), and other conditions, including neck stiffness, and rheumatism, and to induce menstruation and as an oral contraceptive. Forskolin has also been used to treat heart, blood, and circulation conditions, and cancers. In the 1970s, the plant's cardiovascular activity was investigated.General usesForskolin has multiple sites of action and should be used with caution. Forskolin derivatives have been developed for use in heart/blood vessel conditions. Quality clinical trials are lacking to support claims made of the weight loss properties of forskolin, and clinical studies conducted with oral and inhaled forskolin in patients with asthma are limited."
106,"Frankincense, Indian","
Indian frankincense is taken by some people to lower swelling and inflammation. Others who have arthritis may use this product. Some people may take Indian frankincense to help with bowel problems or asthma."
107,Fruit Acids,"
Some people use fruit acids to help with skin problems like acne, dry skin, psoriasis, or melasma. Others believe it helps protect the skin from aging or rashes."
108,Fumitory,"Traditional/Ethnobotanical usesFumitory has been known since antiquity and was described in herbals from the Middle Ages. Fumitory is a predominantly Mediterranean genus that once was used medicinally. Traditional preparation involved expressing the juice and evaporating it. In traditional medicine, the plant has been used to treat eczema and other dermatologic conditions. It has been used as a laxative and diuretic. Fumaria species are used in Turkish folk medicine as a blood purifier and an anti-allergic agent.Miscellaneous usesFumitory has a long history of use in traditional medicine and has been investigated for its therapeutic potential in the management of cardiovascular and hepatobiliary disorders and psoriasis. Limited evidence suggests that fumitory may have cardiovascular benefits, but there is no clinical data to substantiate this claim. Fumaria extracts also may be useful in the management of disorders of the hepatobiliary tract. F. officinalis is approved in Germany for the colicky pain affecting the gallbladder and biliary system, together with the GI tract. F. officinalis is approved in Germany for the colicky pain affecting the gallbladder and biliary system, in addition to the GI tract. Furmaric acid esters have been used as a treatment for psoriasis for nearly 30 years, and there is renewed interest in this area by dermatologists. Research also reveals no clinical data regarding the use of fumitory for diabetes, although there is 1 animal study indicating its potential use in lowering glucose levels."
109,Gamma Linolenic Acid (GLA),"Overview
Fatty acids are the basic building blocks for all lipids. They consist of chains of carbon and hydrogen with an end acid group. Fatty acids vary in length and degree of saturation and generally are up to 26 carbons long. The polyunsaturated fatty acids contain more than 1 double bond. The double bonds are at carbon 3 (n-3) or 6 (n-6). GLA falls into the latter family, known as omega-6 fatty acids.
The actual location of the double bond significantly affects metabolism of the fatty acid, such that the structure and function of omega-3 derived eicosanoids differ from those derived from the omega-6 fatty acids (eg, arachidonic acid). For example, omega-3 derived eicosanoids tend to decrease blood clotting and inflammatory responses. This contrasts significantly with the arachidonic acid (omega-6) derived eicosanoids, which increase clotting and inflammatory responses.
Unsaturated fatty acids are essential components of cell membranes and can influence receptors, enzymes, ion channels, and signal transduction pathways. They can influence numerous inflammatory and immunological processes.
Traditional/Ethnobotanical uses
The evening primrose plant is native to North America and was introduced into Europe in the 17th century. Native Americans consumed the leaves, roots, and seedpods as food and prepared extracts of the oil for use as a painkiller and asthma treatment. Some of these early therapeutic effects are thought to be because of GLA, which is found in high quantities in the oil.
In the 1930s and 1940s, several investigators found dietary supplementation with essential fatty acids such as GLA to be of therapeutic value in atopic dermatitis (AD). The advent of topical glucocorticoids brought an end to this form of treatment. However, by the early 1980s, there was a return to using these agents because of the unwanted side effects of glucocorticoids, and they have regained scientific interest. Over the last 2 decades, numerous other indications have been proposed for GLA.
Rheumatoid arthritis
Clinical studies using GLA (evening primrose oil, borage seed oil, blackcurrant seed oil) suggest a potential relief of pain, morning stiffness, and joint tenderness in rheumatoid arthritis sufferers. Benefits appeared to be increased when dosages were greater than 1.4 g/day of GLA, and administered for at least 6 months.
Cardiovascular protection
The apparent low death rate from coronary heart disease among Eskimos has focused interest on the potential benefits of the n-3 polyunsaturated fatty acids. A small clinical study showed benefits in lowering total cholesterol and LDL, and raising HDL cholesterol. These effects suggest that GLA may contribute to cardiovascular protection. However, this is still an area of controversy.
Diabetes mellitus
GLA has been studied as for its possible benefits for diabetic neuropathy. Diabetic patients have abnormalities of essential fatty acid metabolism, and therefore require higher amounts of essential fatty acids. Studies have shown that the development of cataracts, retinopathy, and cardiovascular damage can all be slowed by the administration of large daily doses of essential fatty acid. Clinical studies have demonstrated consistent and progressive improvement of neuropathies when treated with GLA.
Atopic diseases/Asthma/Psoriasis
GLA has been shown in clinical studies to reduce itching, redness, and toughness of atopic skin. GLA also reduces the inflammation and overall severity of atopic dermatitis, while atopic disease in children often presents as bronchial asthma later in life. However, there have been no animal or clinical studies regarding the use of GLA for atopic bronchial asthma. Although psoriasis does not have an atopic component, the use of GLA has been investigated clinically with inconsistent results.
Other uses
GLA supplementation has been shown to increase lymphocytes, a key component in immune response. It also has been proposed that GLA may play important roles in cancer treatment. Small clinical studies have shown some improvement in immunologic status with estrogen-sensitive breast cancer and bladder cancer. Clinical studies have shown that GLA is effective in relieving PMS symptoms, including breast pain."
110,Gamma Oryzanol,"Traditional/Ethnobotanical usesRice bran oil is used extensively, especially in Asia, for cooking. It has a nut-like flavor and a high smoke point, making it suitable for deep frying and cooking at high temperatures. Rice bran extracts are used in the cosmetic industry.Isolation, extraction, and purification of gamma oryzanol were first reported in the mid-1950s. It has been sold in Japan as a medicine since 1962, first to treat anxiety and later in menopause. Gamma oryzanol and rice bran oil therapy have been used to manage elevated cholesterol and triglyceride levels since the late 1980s.General usesClinical trial data are often of poor methodology, making it difficult to support suggested clinical applications; however, rice bran oil and its components may have applications in high cholesterol, cancer, and dermatology."
111,Garcinia (Hydroxycitric Acid),"
Garcinia is used by some people to help lose weight. Others believe it helps lower cholesterol. Some people use garcinia to help with diabetes and to stop cell damage."
112,Garlic,"
Garlic is used by some people as medicine. Science currently does not support the use of this product for any health problem."
113,Gelsemium,"Traditional/Ethnobotanical usesGelsemium has been used as an ingredient in some analgesic and homeopathic products, but its use has been limited due to its toxicity. At the turn of the century, it was a popular ingredient in asthma and respiratory remedies. Related species have been used in traditional Chinese medicine to treat neuralgia and various painful conditions.Miscellaneous usesGelsemium and its principle alkaloid gelsemine have been reported to exert central stimulant and analgesic effects, being able to potentiate the effects of aspirin and phenacetin. The plant has been investigated for its anticancer properties. To date, research reveals no clinical data regarding the use of gelsemium for stimulant or analgesic effects."
114,Gentian,"Traditional/Ethnobotanical usesThe gentians have been used for centuries as bitters to stimulate the appetite, improve digestion, and to treat a variety of GI complaints (eg, heartburn, vomiting, stomach ache, diarrhea). Stemless gentian usually is consumed as a tea or alcoholic extract, such as Angostura bitters. The extracts are used in a variety of foods, cosmetics, and some antismoking products. The plant has been used externally to treat wounds, and internally to treat sore throat, arthritic inflammation, and jaundice. Despite the name, the dye gentian violet is not derived from this plant.General usesNo clinical trials support traditional use of gentian to stimulate appetite, improve digestion, or treat GI complaints. Gentian has also been used to induce menstruation and to treat wounds, sore throat, arthritic inflammation, and jaundice."
115,Ginger,"
Ginger is used by some people for morning sickness. Others may use it to help with an upset stomach after surgery or from drugs used to treat cancer or HIV."
116,Ginkgo,"
Ginkgo is used by some people as medicine. Science currently does not support the use of this product for any health problem."
117,Ginseng,"
Ginseng is used by some people to help with diabetes. Others may use to help with colds or the flu."
118,Glucomannan,"
Glucomannan is used by some people to help with hard stools. Others may use it to help with diabetes or high cholesterol."
119,Glucosamine,"
Glucosamine is used by some people to help with arthritis. It may also be used with another natural product called chondroitin."
120,Glutamine,"
Glutamine is an amino acid found in foods like meat, chicken, fish, eggs, beans, and dairy. Some people may use it to help with digestion and very bad bowel problems. It may be useful in people with short bowel syndrome. Some people believe it helps with mouth sores, especially from taking chemo."
121,Glutathione,"
Glutathione is used by some people with cystic fibrosis to help thin mucus in the lungs."
122,Golden Seal,"
Golden seal is used by some people for infections. Others believe it helps prevent coughing that goes along with colds and flu. Some people will use golden seal to treat loose stools. Others feel it will help with eye irritations. Golden seal is used by some people to lower blood pressure."
123,Gotu Kola,"
Gotu kola is used by some people to help with wound healing or skin problems like psoriasis. Some people believe it helps with swelling and problems with veins. Others will use Gotu kola to protect from the side effects of chemo and radiation."
124,Grape Seed,"
Grape seed is used by some people to help with circulation and decrease swelling. Some people may use it to lower blood pressure and improve heart rate. Others use it to prevent cell damage."
125,Grapefruit,"
Grapefruit comes in a few forms like the fruit, juice, and seeds. It is used by some people to treat infections. Others may use it to help with stomach problems. Some people believe it will help lower cholesterol. Some people use this for weight loss."
126,Green Tea,"
Green tea is used by some people to increase alertness or improve mental performance. Others use it to lower cholesterol levels and prevent hardening of the arteries. Some people feel it protects the brain and lowers the chance of stroke. Green tea is used by some people with blood pressure problems or to help prevent cancer. Green tea may also help with genital warts or certain kinds of infection. Other people may use green tea to help with mouth problems or to lower uric acid levels in the blood."
127,Guarana,"Traditional/Ethnobotanical usesGuarana has played an important role in the Amazonian Indians' society. It often is taken during periods of fasting to improve tolerance of dietary restrictions. In certain regions, the extract is believed to be an aphrodisiac and to protect from malaria and dysentery. In 1840, caffeine was identified as guarana's principal constituent. In the 19th century, guarana became popular as a stimulating drink in France. In 1880 it was introduced as an official drug in the US Pharmacopeia, where it remained listed until 1910. Guarana is used by Brazilian Indians in a stimulating beverage used like tea or coffee. It sometimes is mixed with alcohol to prepare a more intoxicating beverage. The stems, leaves, and roots of guarana are used as a fish-killing drug in Central and South America.StimulantGuarana contains caffeine, a stimulant. By comparison, coffee beans contain about 1-2% caffeine and the dried leaves of guarana contain from 1-4% caffeine.Natural diet aids, which rely on daily doses of guarana, have been advertised in the lay press. Guarana occasionally is combined with glucomannan in natural weight loss tablets. The advertisements indicate that the ingredients in guarana have the same chemical makeup as caffeine and cocaine, but can be used for weight reduction without any of the side effects of these drugs. This is not entirely correct. Guarana does not contain cocaine, and may have serious side effects for some people.The appetite suppressant effect is related to the caffeine content. The energy that guarana tablets are reported to give also is due to caffeine. This stimulating effect is so widely recognized that 1 guarana product was marketed as ""Zoom."" Numerous investigational studies have shown the ability of the sympathetic stimulant ephedrine, when coupled with caffeine, to have a synergistic effect on increasing metabolic rates with subsequent increased energy expenditure (thermogenesis), and to have fat reducing (lipolytic) effects. These effects have resulted in a statistically significant weight loss in animal and human trials when combined with diet.Guarana has been used as a natural energizer, cognitive stimulant, flavoring for beverages, and as a component in natural weight loss products. However, it cannot be recommended as a natural energizer or weight loss aid because of its potential serious side effects."
128,Guggul,"Traditional/Ethnobotanical usesThe plant has been used in traditional Ayurvedic medicine for centuries in the treatment of a variety of disorders, most notably arthritis, and as a weight-reducing agent in obesity. Other traditional uses have included treatment of liver problems, tumors, ulcers and sores, urinary complaints, intestinal worms, swelling, and seizures, and as a heart tonic. In 1986, guggal was approved for marketing in India as a cholesterol-lowering agent. A commercial product, Guggulow, claiming cholesterol-lowering properties, is widely available on the Internet.General usesGuggul has been used in the traditional Ayurvedic medical system for centuries and has been studied extensively in India. Commercial products are promoted for lowering cholesterol; however, clinical studies do not support this claim. Anti-inflammatory and heart/blood vessel effects are being evaluated, as well as use in cancer, obesity, and diabetes."
129,Gymnema,"Traditional/Ethnobotanical usesGymnema has played an important role in traditional Ayurvedic medicine for centuries. Its use has been confined primarily to the management of diabetes and similar conditions of altered blood sugar. As early as 1930, these effects of the plant were investigated. The leaves also have been used for stomach ailments, constipation, water retention, and liver disease. The flowers, leaves, and fruits have been used in the treatment of alterations of blood pressure and heart rhythms. Chewing the leaves destroys the ability to identify the sweet taste, giving it the common Hindi name of gurmar, or ""sugar destroyer."" The plant has become available in a number of commercial over-the-counter herbal products.General usesThe plant has been used in traditional medicine, most notably to control blood sugar. Use of gymnema as a lipid-lowering agent, for weight loss, and to prevent cavities has also been investigated, primarily in rat or mouse studies. However, little to no clinical information is available to support the use of gymnema for any indication."
130,Hawthorn,"
Hawthorn is used by some people to help with heart failure or other coronary diseases. It may help lower cholesterol or high blood pressure. Some people use it to lower anxiety and pain."
131,Hibiscus,"Traditional/Ethnobotanical uses
The hibiscus has had a lengthy history of use in Africa and neighboring tropical countries. Its fragrant flowers have been used in sachets and perfumes. In areas of northern Nigeria, this plant has been used to treat constipation. Fiber from H. sabdariffa has been used to fashion rope as a jute substitute. The fleshy red calyx is used in the preparation of jams, jellies, and cold and warm teas and drinks. The leaves have been used like spinach. The plant is used widely in Egypt for the treatment of cardiac and nerve diseases and has been described as a diuretic. In Iran, drinking sour tea for the treatment of hypertension is a popular practice. It has been used in the treatment of cancers. Research reveals little or no evidence of these medicinal uses of hibiscus. The mucilaginous leaves are used as a topical emollient in Africa. In Western countries, hibiscus flowers often are found as components of herbal tea mixtures. In Thailand, people consume roselle juice to quench thirst. Karkade seed products (ie, karkade defatted flour, protein concentrate, protein isolate) have been studied for their nutritional and functional value.
Hypertension
A randomized clinical trial evaluated the effect of sour tea available commercially in Iran on essential hypertension in otherwise healthy volunteers. A decrease in blood pressure was seen. However, after cessation of drinking the sour tea, a rise in blood pressure occurred. Although no adverse effects were seen in this study, the use of sour tea for treating hypertension requires further study.
Antibacterial/Vermifuge
Aqueous extracts of hibiscus appear to exert a slight antibacterial effect. In laboratory and animal studies, worms were killed by hibiscus extracts. Research reveals little or no clinical data regarding the use of hibiscus as an antibacterial or vermifuge (kill worms).
Chemopreventive effects
Components of hibiscus have shown potential as a chemopreventative agent against tumor promotion in laboratory and animal studies. These components also possess anti-inflammatory properties. Research reveals little or no clinical data regarding the use of hibiscus as a chemopreventive agent.
Laxative effects
The plant has been used as a mild laxative. While animal studies show a mild cathartic effect, research reveals little or no human clinical data regarding the use of hibiscus as a laxative.
Other uses
Hibiscus has been studied for its use in preventing renal stone formation, as well as its respiratory and sedative effects. To date there is no clinical evidence to prove any of these beneficial medical effects. Additionally, hibiscus anthocyanins have shown antioxidant activity in protecting against hepatotoxicity in rats. Application and action in humans has yet to be investigated."
132,Holly,"Traditional/Ethnobotanical usesPlants in the holly family have been used as ornamentals and in herbal medicine for centuries. Early history records the European pagans offering holly branches as gifts during the Saturnalia. Early Christians decorated their homes with holly during Christmas, a practice that continues today. The early settlers in the southeastern United States made yaupon tea from I. vomitoria, reserving a stronger decoction for use as an emetic. I. opaca fruit tea had been used as a cardiac stimulant by the American Indians; the Chinese used it to treat coronary disease.One of the most economically important species, Ilex paraguayensis or Maté tea (see separate monograph), has long been cultivated and used in Brazil and Paraguay as a tea-like beverage containing caffeine. The mixed leaves of Ilex cassine, I. vomitoria, and Ilex dahoon also were used for a hot drink called yaupon or black drink. Drinkers used it ceremonially to ""cleanse"" themselves, probably due to its sweat- and vomit-inducing effects. Another beverage made from the leaves of I. cassine and I. vomitoria was used as a stimulant tea in the southern United States during the Civil War.Other usesHolly is primarily used as a holiday decoration. Historically, it has been used in teas as an emetic and a CNS stimulant. There is little clinical research regarding the medicinal uses of holly."
