,Medicines,Page_Content
148,Kava,"
Kava
 Medically reviewed by Drugs.com.  Last updated on Jun 1, 2019. 

Overview
Professional
Interactions
Reviews

More 


What are other common names?






Piper methysticum

Ava
Ava Pepper
Ava Root
Awa
Gea
Gi
Intoxicating Long Pepper
Intoxicating Pepper
Kao
Kava Kava
Kava Pepper
Kava Root
Kava-kava
Kavain
Kawa
Kawa Kawa
Kawa Pepper
Kawain
Kew
Long Pepper
Rauschpfeffer
Sakau
Tonga
Wurzelstock
Yangona
Yaqona
Yaquon
Yongona

What is this product used for?
Kava is used by some people to help lower anxiety and as a sleep aid. Others use it to relax muscles. Some people may use this to help prevent cancer.
What are the precautions when taking this product?


Always check with your doctor before you use a natural product. Some products may not mix well with drugs or other natural products.


Be sure to tell your doctor that you take this product if you are scheduled for surgery or tests.


Do not use this product if you are pregnant or plan to become pregnant soon. Use birth control you can trust while taking this product.


Do not breastfeed while using this product.


Avoid beer, wine, and mixed drinks (alcohol) while taking this product.


This product may cause you to be sleepy. Take extra care driving and doing tasks that you need to be alert for.


Take extra care and check with your doctor if you have:


Kidney problems


Liver problems


Blood disorders


Parkinson's disease


Low mood




What should I watch for?


Upset stomach


Decreased amount of urine


Dizziness


Problems seeing


Loss of balance or problems walking


Mouth numbness


Scaly rash


When do I need to call the doctor?


Signs of a very bad reaction. These include wheezing; chest tightness; fever; itching; bad cough; blue skin color; seizures; or swelling of face, lips, tongue, or throat. Go to the ER right away.


Signs of liver problems. These include upset stomach or throwing up, belly pain, feeling tired, dark urine, yellow skin or eyes, not hungry.


Very bad throwing up


Very bad belly pain


Very bad loose stools


Very bad headache


Too tired or sleepy


Change in your ability to think clearly


Where can I learn more?
National Center for Complementary and Alternative Medicine

http://nccam.nih.gov/health/kava?nav=gsa

Last Reviewed Date2016-11-15Consumer information use
This information is not specific medical advice and does not replace information you receive from your healthcare provider. Only your healthcare provider has the knowledge and training to provide advice that is right for you. You should not rely on this information in deciding whether or not to use, or accept your healthcare provider’s advice regarding use of, any natural products or similar treatments, therapies, or life-style choices.  This information does not endorse any natural products or similar treatments, therapies, or life-style choices as safe, effective, or approved for treating any patient or health condition. This is only a brief summary of general information. It does NOT include all information about natural products, possible uses, directions, warnings, precautions, interactions, adverse effects, or risks that may apply to you. You must talk with your healthcare provider for complete information about your health and treatment options.
Copyright
Copyright © 2018 Wolters Kluwer Clinical Drug Information, Inc. and its affiliates and/or licensors.  All rights reserved.
Further informationAlways consult your healthcare provider to ensure the information displayed on this page applies to your personal circumstances.
Medical Disclaimer

More about kava

Drug Interactions
En Español
10 Reviews
Drug class: herbal products

Consumer resources

Kava

Professional resources

Kava (Advanced Reading)

Related treatment guides

Herbal Supplementation
Anxiety
Anxiety and Stress


"
149,Kombucha,"
Kombucha
What is Kombucha?



Kombucha is not a fungus or a mushroom, but rather a cellulose skin or mat fermented in a black tea and sugar mix. Kombucha tea is a resultant sour-tasting, fermented liquid broth, described as resembling sparkling apple cider. Black or green tea has been used, and a number of other beverages, teas (including fruit-based teas), Jerusalem artichoke, milk, and whey, have also been described.
Scientific Name(s)
Yeast/bacteria fungal symbiont
Common Name(s)
Kombucha is also known as kombucha tea, kombucha mushroom, Manchurian tea, combucha tea, spumonto, tschambucco, teekwass, kwassan, kargasok tea, ""fungus"" Japonicus, Manchurian ""fungus,"" Dr. Sklenar's kombucha mushroom infusion, champagne of life, t'chai from the sea, zoogleal mat, and pellicle.
What is it used for?
Traditional/Ethnobotanical usesThe name ""kombucha"" is derived from Japanese; it is brewed in a seaweed (kombu) tea (cha). In Western countries, the product typically is grown in black tea; spores are floated on the surface of brewed, sweetened black tea. The vegetative part of the fungus doubles in mass approximately every week. The mass then is divided and the new portion is grown on a new tea mixture. As the growth matures, it ferments the beverage slightly and it is consumed for its possible medicinal properties. Drinking fermented teas has long been popular in Eastern countries, and the use of this particular growth may date back several centuries.Kombucha tea has grown rapidly in popularity in the past year, and has been promoted as a miracle cure for a wide variety of illnesses ranging from memory loss to premenstrual syndrome. Despite claims for its drug activity, some experts believe that the tea meets the US Food and Drug Administration requirements as a fraudulent product: reference to non-US medical studies, an appeal to vanity, ancient origins, and alleged cures for a wide variety of ailments. Some of these claims include curing cancer, rheumatism, and intestinal disorders, as well as reversing the effects of aging.General usesEvidence does not support the drug claims for kombucha teas; rare case reports of severe toxicity exist.
What is the recommended dosage?
There is no clinical evidence to support specific dosing for kombucha.
Contraindications
Use in people with weak immune systems, and during pregnancy and lactation is not advised.
Pregnancy/Lactation
Avoid use.
Interactions
None well documented.
Side Effects
Cases of nausea and allergic responses have been reported.
Toxicology
Information is limited. Rare case reports of severe toxicity exist.
References
1. Kombucha. Review of Natural Products. Facts & Comparisons eAnswers. St. Louis, MO: Clinical Drug Information LLC; August 2015. http://online.factsandcomparisons.com. Accessed October 2015.Further informationAlways consult your healthcare provider to ensure the information displayed on this page applies to your personal circumstances.
Medical Disclaimer

More about kombucha
Professional resources

Kombucha (Advanced Reading)

Related treatment guides

Dietary Supplementation


"
150,Kudzu,"
Kudzu

Professional
Reviews

More 


What is Kudzu?



Kudzu is a fast-growing vine native to the subtropical regions of China and Japan. The leaves of the plant contain 3 broad oval leaflets with purple flowers and curling tendril spikes. Because kudzu produces stems that can grow to 20 m (60 ft) in length with extensive roots, it has been used to control soil erosion. Since its introduction to the United States, kudzu has become well established and proliferates in moist southern regions, where it grows vigorously and is now considered an invasive pest.
Scientific Name(s)
Pueraria lobata (Willd) Ohwi. or P. montana (Lour.) Merr. or P. thunbergiana (Siebold & Zucc.) Benth.
Common Name(s)
Kudzu, kudzu vine, Japanese arrowroot, kakka, kakkon, Kakkonto (Japan), Ge Gen, XJL (NPI-028) (China)
What is it used for?
Traditional/Ethnobotanical usesKudzu was introduced to the United States in the late 1800s to control soil erosion, and although widely recognized as a ground cover and fodder crop in the Western world, the plant has a long history of medicinal use in Asian cultures. Beginning in the 6th century BC, Chinese herbalists used the plant for prevention of intoxication, muscular pain, and treatment of measles. Kudzu is native to Japan, China, and Fiji.General usesCurrent interest in kudzu centers on its use as therapy for alcoholism, although sufficient and consistent clinical trials are lacking. Estrogenic activity of kudzu is also being investigated, although clinical trials are limited.
What is the recommended dosage?
Kudzu extract 3 g daily with 25% isoflavone content has been studied in adult heavy drinkers. In another study, 2.4 g kudzu root was given daily.
Contraindications
Contraindications have not yet been identified.
Pregnancy/Lactation
Information regarding safety and efficacy in pregnancy and lactation is lacking. Avoid use.
Interactions
None well documented.
Side Effects
A few case reports of allergy exist.
Toxicology
Limited data available.
References
1. Kudzu. Review of Natural Products. Facts & Comparisons 4.0. August 2008. Accessed October 14, 2008.Further informationAlways consult your healthcare provider to ensure the information displayed on this page applies to your personal circumstances.
Medical Disclaimer

More about kudzu

1 Review

Professional resources

Kudzu (Advanced Reading)

Related treatment guides

Herbal Supplementation


"
151,L-arginine,"
L-arginine 





Side Effects
Professional
Interactions
Reviews

More 


What is L-arginine?



Eggs, meats, milk, soy proteins, peanuts, and walnuts are all sources of arginine. The physiologically active form, L-arginine, is obtained by breaking down proteins. Arginine also may be synthesized in the laboratory. Because L-arginine may be synthesized in the body, it is classified as a nonessential amino acid in adults. However, in children and in people with certain conditions (eg, infection, trauma), L-arginine synthesis may become compromised and then may be considered semi-essential.
What is it used for?
Traditional/Ethnobotanical usesL-arginine is a nonessential amino acid that may play an important role in the treatment of heart disease due to its block arterial plaque buildup, blood clots, platelet clumping, and to increase blood flow through the coronary artery. L-arginine is commonly sold as a health supplement claiming to improve vascular health and treat erectile dysfunction in men. L-arginine, which is promoted as a human growth stimulant, has also been used in bodybuilding. In the 1800s, it was first isolated from animal horn.
What is the recommended dosage?
L-arginine has been studied at oral doses of 6 to 30 g/day for a variety of conditions. Many formulations have been used.
Contraindications
Absolute contraindications have not been identified. L-arginine is not recommended in patients following an acute heart attack.
Pregnancy/Lactation
Specific information regarding safety and efficacy during pregnancy and breast-feeding is lacking, although several trials have been conducted in pregnant women without notable ill effects.
Interactions
L-arginine has unpredictable effects on insulin and cholesterol-lowering agents. L-arginine may increase the effects of isosorbide mononitrate and other nitric oxide donors, such as glyceryl trinitrate and sodium nitroprusside.
Side Effects
L-arginine has few reported adverse reactions. Nausea and diarrhea have been reported infrequently. Bitter taste may occur with higher doses. Due to its ability to dilate blood vessels, low blood pressure may occur. Intravenous preparations containing L-arginine hydrochloride have a high chloride content that may increase the risk for metabolic acidosis in patients with electrolyte imbalances. Low potassium and high serum urea nitrogen levels may occur in patients with kidney and/or liver impairment.
Toxicology
High concentrations of nitric oxide, which can be produced by L-arginine, are considered toxic to brain tissue.
References
1. L-arginine. Review of Natural Products. Facts & Comparisons [database online]. St. Louis, MO: Wolters Kluwer Health Inc; October 2010.Further informationAlways consult your healthcare provider to ensure the information displayed on this page applies to your personal circumstances.
Medical Disclaimer

More about L-Arginine (arginine)

Side Effects
Drug Interactions
7 Reviews
Drug class: in vivo diagnostic biologicals

Consumer resources
Other brands: R-Gene 10
Professional resources

L-arginine (Advanced Reading)

Related treatment guides

Dietary Supplementation
Diagnosis and Investigation


"
152,L-Theanine,"
L-Theanine
 Medically reviewed by Drugs.com.  Last updated on Mar 3, 2019. 

Professional
Reviews
Q & A

More 


What are other common names?





5-N-Ethylglutamine

Boletus badius


Camellia sinensis


Gamma-ethylamino-L-glutamic acid

Gamma-Glutamylethylamide
Suntheanine
Teanina
Theanine

What is this product used for?
L-Theanine is used by some people to help lower anxiety and as a sleep aid. Others believe it helps with the immune system. Some people believe it may help prevent cancer. L-Theanine is used by some people to help relax.
What are the precautions when taking this product?


Always check with your doctor before you use a natural product. Some products may not mix well with other drugs or natural products.


Do not use this product if you are pregnant or plan to become pregnant soon. Use birth control you can trust while taking this product.


Do not use this product if you are breastfeeding.


Avoid beer, wine, and mixed drinks (alcohol) while taking this product.


This product may cause you to be sleepy. Take extra care driving and doing tasks that you need to be alert for.


Take extra care and check with your doctor if you have:


Anxiety




What should I watch for?


Upset stomach


Feeling dizzy


When do I need to call the doctor?


Signs of a very bad reaction. These include wheezing; chest tightness; fever; itching; bad cough; blue skin color; seizures; or swelling of face, lips, tongue, or throat. Go to the ER right away.


Signs of low blood pressure. These include feeling dizzy, weak, or tired; fainting; more thirst; or skin that is pale, cool, and clammy.


Very bad throwing up


Very bad loose stools


Very bad headache


Change in your ability to think clearly


Last Reviewed Date2016-11-28Consumer information use
This information is not specific medical advice and does not replace information you receive from your healthcare provider. Only your healthcare provider has the knowledge and training to provide advice that is right for you. You should not rely on this information in deciding whether or not to use, or accept your healthcare provider’s advice regarding use of, any natural products or similar treatments, therapies, or life-style choices.  This information does not endorse any natural products or similar treatments, therapies, or life-style choices as safe, effective, or approved for treating any patient or health condition. This is only a brief summary of general information. It does NOT include all information about natural products, possible uses, directions, warnings, precautions, interactions, adverse effects, or risks that may apply to you. You must talk with your healthcare provider for complete information about your health and treatment options.
Copyright
Copyright © 2018 Wolters Kluwer Clinical Drug Information, Inc. and its affiliates and/or licensors.  All rights reserved.
Further informationAlways consult your healthcare provider to ensure the information displayed on this page applies to your personal circumstances.
Medical Disclaimer

More about l-theanine

Support Group
75 Reviews

Professional resources

L-Theanine (Advanced Reading)

Related treatment guides

Dietary Supplementation


"
153,L-Tryptophan,"
L-Tryptophan Medically reviewed by Drugs.com.  Last updated on May 18, 2019. What are other common names?





L-Triptofano
L-Trypt
L-Tryptophane
Tryptofan
Tryptophan

What is this product used for?
L-Tryptophan is also known as tryptophan. It is used by some people to help with sleeping problems. Others may use it to help stop smoking. Some people believe it may help with problems like low mood or attention deficit disorder. Women may take this product to help with mood problems that go along with their periods.
What are the precautions when taking this product?


Always check with your doctor before you use a natural product. Some products may not mix well with drugs or other natural products.


Be sure to tell your doctor that you take this product if you are scheduled for surgery or tests.


Do not use this product if you are pregnant or plan to become pregnant soon. Use birth control you can trust while taking this product.


Avoid beer, wine, and mixed drinks (alcohol) while taking this product.


This product may cause you to be sleepy. Take extra care driving and doing tasks that you need to be alert for.


Take extra care and check with your doctor if you have:


Mental problems like low mood


Kidney problems


Liver problems


Problems with your white blood cells




What should I watch for?


Upset stomach


Burping and gas


Dizziness


Dry mouth


Feeling sleepy


When do I need to call the doctor?


Signs of a very bad reaction. These include wheezing; chest tightness; fever; itching; bad cough; blue skin color; seizures; or swelling of face, lips, tongue, or throat. Go to the ER right away.


Signs of liver problems. These include upset stomach or throwing up, belly pain, feeling tired, dark urine, yellow skin or eyes, not hungry.


Very bad tiredness


Very bad muscle pain


Very bad throwing up


Very bad belly pain


Very bad loose stools


Very bad headache


Change in your ability to think clearly


Last Reviewed Date2016-11-22Consumer information use
This information is not specific medical advice and does not replace information you receive from your healthcare provider. Only your healthcare provider has the knowledge and training to provide advice that is right for you. You should not rely on this information in deciding whether or not to use, or accept your healthcare provider’s advice regarding use of, any natural products or similar treatments, therapies, or life-style choices.  This information does not endorse any natural products or similar treatments, therapies, or life-style choices as safe, effective, or approved for treating any patient or health condition. This is only a brief summary of general information. It does NOT include all information about natural products, possible uses, directions, warnings, precautions, interactions, adverse effects, or risks that may apply to you. You must talk with your healthcare provider for complete information about your health and treatment options.
Copyright
Copyright © 2018 Wolters Kluwer Clinical Drug Information, Inc. and its affiliates and/or licensors.  All rights reserved.
Further informationAlways consult your healthcare provider to ensure the information displayed on this page applies to your personal circumstances.
Medical Disclaimer
"
154,Lavender,"
Lavender

Overview
Professional
Breastfeeding

More 


What is Lavender?



Lavender plants are aromatic evergreen small shrubs native to the Mediterranean region, the Arabian peninsula, Russia, and Africa. The plant has small blue or purple flowers. Fresh flowering tops are collected, and the essential oil is distilled or extracts are obtained by extracting with solvents. Lavender is cultivated extensively for use as a perfume, in potpourri, and as an ornamental.
Scientific Name(s)
Lavandula angustifolia, Lavandula officinalis, Lavandula luisieri, Lavandula stoechas, Lavandula dentate, Lavandula latifolia, Lavandula pubescens
Common Name(s)
Lavender also is known as aspic, common lavender, English lavender, garden lavender, lavandin (usually refers to particular hybrids), pink lavender, spike lavender, true lavender, and white lavender.
What is it used for?
Traditional/Ethnobotanical usesLavender has been used for pain, bacterial and fungal infections, depression, cramps, indigestion, to promote wound healing, and as a sedative. Extracts have been used to treat conditions ranging from acne to migraines. Although the plant has been known to increase bile flow output and flow into the intestine, its greatest value is not in the treatment of liver conditions. Lavender has been used extensively for diabetes in parts of Spain and is included in some commercial herbal antidiabetic preparations. Fresh leaves and flowers are applied to the forehead to relieve headaches and to joints to treat rheumatic pain. The vapors of steamed flowers are used as a cold remedy. Chileans drink the tea to induce or increase menstrual flow.General usesLavender has been used for restlessness, insomnia, anxiety, diabetes, GI distress, discomfort following childbirth, cancer, as an insect repellant, and as a food flavoring agent. However, there are limited clinical trials to support any of these uses.
What is the recommended dosage?
Aromatherapy for a bath: 6 drops (120 mg) added to 20 L of bath water or 20 to 100 g of the dried herb in 20 L of bath water. Inhalational aromatherapy: 2 to 4 drops in 2 to 3 cups (480 to 720 mL) of boiling water or used in an aromatic diffuser and inhaled. Massage: 1 to 4 drops/Tbsp (15 mL) of base or carrier oil may be used or it may be mixed with other oils.Tea: 1 to 2 tsp (5 to 10 mL) of lavender per cup (240 mL) of water. Oil for ingestion: 1 to 4 drops (20 to 80 mg), often given on a sugar cube.
Contraindications
Lavender should be used cautiously or avoided in patients with known allergy to lavender.
Pregnancy/Lactation
Information regarding safety and efficacy in pregnancy and lactation is lacking. Lavender may promote menstruation, and excessive internal use should be avoided in pregnancy.
Interactions
Central nervous system depressants and anticonvulsants may increase narcotic and sedative effects when given in combination with lavender-containing products. Blood-thinning drugs may increase the risk of bleeding when given at the same time as lavender. Lavender may also increase the cholesterol-lowering effects of drugs that lower cholesterol.
Side Effects
Lavender may cause allergic skin reaction and sun sensitivity. Large oral doses have been associated with nausea, vomiting, and anorexia.
Toxicology
A case report describes an accidental ingestion of lavandin resulting in central nervous system depression in an 18-month-old child, which returned to normal within 6 hours of ingestion.
References
1. Lavendar. Review of Natural Products. Facts & Comparisons [database online]. St. Louis, MO: Wolters Kluwer Health Inc; August 2011.Further informationAlways consult your healthcare provider to ensure the information displayed on this page applies to your personal circumstances.
Medical Disclaimer

More about lavender

Breastfeeding
En Español
Drug class: herbal products

Consumer resources

Lavender

Professional resources

Lavender (Advanced Reading)

Related treatment guides

Acne
Anxiety
Diabetes, Type 1
Diabetes, Type 2
... +4 more


"
155,Lecithin,"
Lecithin 




 Medically reviewed by Drugs.com.  Last updated on Jul 17, 2019. 

Overview
Side Effects
Professional
Breastfeeding
Reviews

More 


What are other common names?





1,2-diacyl-sn-glycero-3-phosphatidylcholine
Egg Lecithin
Granulestin
Kelecin
Lecithol
Soy Lecithin
Soy Phospholipids
Soybean Lecithin
Vitellin
Vitelline

What is this product used for?
Lecithin is used by some people to help lower cholesterol. Others use it to help with mental or nerve problems. Others use lecithin as a skin moisturizer.
What are the precautions when taking this product?


Always check with your doctor before you use a natural product. Some products may not mix well with drugs or other natural products.


Take extra care if you are allergic to eggs or soy.


Take extra care and check with your doctor if you have:


Mental problems


Memory loss


High cholesterol




What should I watch for?


Upset stomach


Not feeling hungry


Increased saliva


Sweating


When do I need to call the doctor?


Signs of a very bad reaction. These include wheezing; chest tightness; fever; itching; bad cough; blue skin color; seizures; or swelling of face, lips, tongue, or throat. Go to the ER right away.


Very bad throwing up


Very bad loose stools


Last Reviewed Date2016-11-28Consumer information use
This information is not specific medical advice and does not replace information you receive from your healthcare provider. Only your healthcare provider has the knowledge and training to provide advice that is right for you. You should not rely on this information in deciding whether or not to use, or accept your healthcare provider’s advice regarding use of, any natural products or similar treatments, therapies, or life-style choices.  This information does not endorse any natural products or similar treatments, therapies, or life-style choices as safe, effective, or approved for treating any patient or health condition. This is only a brief summary of general information. It does NOT include all information about natural products, possible uses, directions, warnings, precautions, interactions, adverse effects, or risks that may apply to you. You must talk with your healthcare provider for complete information about your health and treatment options.
Copyright
Copyright © 2018 Wolters Kluwer Clinical Drug Information, Inc. and its affiliates and/or licensors.  All rights reserved.
Further informationAlways consult your healthcare provider to ensure the information displayed on this page applies to your personal circumstances.
Medical Disclaimer

More about lecithin

Side Effects
Breastfeeding
En Español
12 Reviews
Drug class: nutraceutical products

Consumer resources

Lecithin

Other brands: Lecithin-Softgels
Professional resources

Lecithin (Advanced Reading)

Related treatment guides

Herbal Supplementation


"
156,Lemon Balm,"
Lemon Balm
 Medically reviewed by Drugs.com.  Last updated on Sep 23, 2019. 

Professional
Breastfeeding
Reviews

More 


What are other common names?






Melissa officinalis

Balm
Cure-All
Dropsy Plant
Honey Plant
Melisa
Melissa
Sweet Balm
Sweet Mary

What is this product used for?
Some people use lemon balm to help lower stress and anxiety. Others may use lemon balm to help with herpes or cold sores. Some people use lemon balm to help promote sleep. Others believe it may help with heartburn. Lemon balm may be used to help with colic. It may also help with Alzheimer disease.
What are the precautions when taking this product?


Always check with your doctor before you use a natural product. Some products may not mix well with drugs or other natural products.


Be sure to tell your doctor that you take this product if you are scheduled for surgery or tests.


Avoid beer, wine, and mixed drinks (alcohol) while taking this product.


This product may cause you to be sleepy. Take extra care driving and doing tasks that you need to be alert for.


Take extra care and check with your doctor if you have:


Low mood


Anxiety




What should I watch for?


Upset stomach


Dizziness


Wheezing


Skin irritation


Feeling very nervous or excitable


When do I need to call the doctor?


Signs of a very bad reaction. These include wheezing; chest tightness; fever; itching; bad cough; blue skin color; seizures; or swelling of face, lips, tongue, or throat. Go to the ER right away.


Very bad throwing up


Very bad belly pain


Very bad loose stools


Change in your ability to think clearly


Last Reviewed Date2016-12-14Consumer information use
This information is not specific medical advice and does not replace information you receive from your healthcare provider. Only your healthcare provider has the knowledge and training to provide advice that is right for you. You should not rely on this information in deciding whether or not to use, or accept your healthcare provider’s advice regarding use of, any natural products or similar treatments, therapies, or life-style choices.  This information does not endorse any natural products or similar treatments, therapies, or life-style choices as safe, effective, or approved for treating any patient or health condition. This is only a brief summary of general information. It does NOT include all information about natural products, possible uses, directions, warnings, precautions, interactions, adverse effects, or risks that may apply to you. You must talk with your healthcare provider for complete information about your health and treatment options.
Copyright
Copyright © 2018 Wolters Kluwer Clinical Drug Information, Inc. and its affiliates and/or licensors.  All rights reserved.
Further informationAlways consult your healthcare provider to ensure the information displayed on this page applies to your personal circumstances.
Medical Disclaimer

More about lemon balm

Breastfeeding
2 Reviews

Professional resources

Lemon Balm (Advanced Reading)

Related treatment guides

Herbal Supplementation


"
157,Lemon Verbena,"
Lemon Verbena
What is Lemon Verbena?



Lemon verbena is a pleasant-smelling plant native to Argentina and Chile. The plant that is commonly cultivated in the tropics and Europe, and is grown commercially in France and North Africa. It bears small white flowers and has fragrant, lemon-scented narrow leaves.
Scientific Name(s)
Aloysia triphylla
Common Name(s)
Lemon verbena also is known as luisa.
What is it used for?
Traditional/Ethnobotanical usesLemon verbena has been used as a medicinal plant for centuries to stop muscle spasms, as a fever reducer and sedative, for indigestion, and to increase appetite, among other indications. Research regarding its medicinal use is limited. The leaves and flowering tops are used in teas and as beverage flavors. Its fragrance is used in perfumery.General usesLemon verbena extract has demonstrated antioxidant activity and the essential oil has shown antimicrobial properties, but there is no evidence for clinical use.
What is the recommended dosage?
There are no clinical studies to support the safety of any dosing. Traditional dosage of a 45 mL extract taken several times per day has been described.
Contraindications
Avoid in kidney failure.
Pregnancy/Lactation
Information regarding safety and efficacy in pregnancy and lactation is lacking.
Interactions
None well documented.
Side Effects
Contact allergic reactions have been associated with members of related species. Avoid in kidney disorders because lemon verbena is excreted through the kidneys.
Toxicology
Lemon verbena is generally recognized as safe (GRAS) for human consumption and for use as a flavoring agent in alcoholic beverages.
References
1. Lemon Verbena. Review of Natural Products. Facts & Comparisons eAnswers. St. Louis, MO: Clinical Drug Information LLC; September 2015. http://online.factsandcomparisons.com. Accessed October 2015.Further informationAlways consult your healthcare provider to ensure the information displayed on this page applies to your personal circumstances.
Medical Disclaimer

More about lemon verbena
Professional resources

Lemon Verbena (Advanced Reading)

Related treatment guides

Herbal Supplementation


"
158,Licorice,"
Licorice
 Medically reviewed by Drugs.com.  Last updated on Sep 24, 2019. 

Overview
Professional
Interactions
Breastfeeding

More 


What are other common names?






Glycyrrhiza glabra


Glycyrrhiza uralensis

Bois doux
Can Cao
Chinese Licorice
Deglycyrrhized Licorice
Gan Cao
Gan Zao
Glycyrrhizae Extractum Crudum
Glycyrrhizae Radix
Glycyrrhizic Acid
Glycyrrhizinic Acid
Isoflavone
Kanzo
Lakrids
Lakritzenwurzel
Licochalcone-A
Liquiriti Radix
Phytoestrogen
Russian Licorice
Shao-Yao-Gan-Cao-Tang
Spanish Licorice
Succens Liquiritiae
Sweet Root
Zhi Gan Cao

What is this product used for?
Licorice is used by some people to help with stomach and bowel problems like ulcers or heartburn. Others use it to help with infections. Some people believe licorice will help protect your liver or protect you from cancer. Some people use licorice to help with hot flashes that happen in menopause.
What are the precautions when taking this product?


Always check with your doctor before you use a natural product. Some products may not mix well with drugs or other natural products.


This product may interfere with some lab tests. Be sure to talk with your doctor about this and all drugs you are taking.


Be sure to tell your doctor that you take this product if you are scheduled for surgery or tests.


Do not use this product if you are pregnant or plan to become pregnant soon. Use birth control you can trust while taking this product.


Take extra care if you are taking drugs to thin your blood. These are drugs like warfarin (Coumadin), heparin, or enoxaparin (Lovenox).


Take extra care if you are taking drugs to dissolve blood clots. These are drugs like alteplase (Activase), reteplase (Retevase), or streptokinase.


Take extra care if you are taking drugs to help with swelling or inflammation. These are drugs like nonsteroidal anti-inflammatory drugs (NSAIDs), aspirin, ibuprofen (Advil), or naproxen (Naprosyn).


Take extra care and check with your doctor if you have:


Heart problems


Kidney problems


Liver problems


High blood pressure


Low potassium levels


Cancer


Diabetes


Erectile dysfunction




Keep hard candies, glucose tablets, liquid glucose, or juice on hand for low blood sugar.


What should I watch for?


Upset stomach


High blood pressure


Swelling


Feeling sleepy or weak


Arm or leg muscle pain, cramps, or numbness


When do I need to call the doctor?


Signs of a very bad reaction. These include wheezing; chest tightness; fever; itching; bad cough; blue skin color; seizures; or swelling of face, lips, tongue, or throat. Go to the ER right away.


Signs of heart attack. These include chest pain or pressure, a feeling of something sitting on your chest, trouble breathing, sweating, fast heartbeat, and dizziness.


Signs of high blood pressure like very bad headaches, nervousness, problems breathing, or nosebleeds.


Signs of low blood sugar. These include hunger, dizziness, shaking, a fast heartbeat, confusion, or sweating.


Very bad throwing up


Very bad loose stools


Very bad headache


Bruising or bleeding that is not normal


Changes in your menstrual periods like lots of bleeding, spotting, or bleeding between cycles.


Where can I learn more?
National Center for Complementary and Alternative Medicine

http://nccam.nih.gov/health/licoriceroot?nav=gsa

Last Reviewed Date2016-12-14Consumer information use
This information is not specific medical advice and does not replace information you receive from your healthcare provider. Only your healthcare provider has the knowledge and training to provide advice that is right for you. You should not rely on this information in deciding whether or not to use, or accept your healthcare provider’s advice regarding use of, any natural products or similar treatments, therapies, or life-style choices.  This information does not endorse any natural products or similar treatments, therapies, or life-style choices as safe, effective, or approved for treating any patient or health condition. This is only a brief summary of general information. It does NOT include all information about natural products, possible uses, directions, warnings, precautions, interactions, adverse effects, or risks that may apply to you. You must talk with your healthcare provider for complete information about your health and treatment options.
Copyright
Copyright © 2018 Wolters Kluwer Clinical Drug Information, Inc. and its affiliates and/or licensors.  All rights reserved.
Further informationAlways consult your healthcare provider to ensure the information displayed on this page applies to your personal circumstances.
Medical Disclaimer

More about licorice

Breastfeeding
Drug Interactions
En Español
Drug class: herbal products

Consumer resources

Licorice

Professional resources

Licorice (Advanced Reading)

Related treatment guides

Cough
Herbal Supplementation
Stomach Ulcer
Upper Respiratory Tract Infection


"
159,Linden,"
Linden
What is Linden?



Linden trees belong to the Tiliaceae family, which consists of nearly 80 species native to Europe and found in northern temperate regions. The 5-petaled, fragrant, yellow to white flowers are collected after spring bloom, dried, and carefully preserved. The flowers are the most valued medicinal components of the linden tree.
Scientific Name(s)
Tilia cordata Mill. and Tilia platyphyllos Scop. Family: Tiliaceae.
Common Name(s)
Linden, European linden, basswood, lime tree, lime flower
What is it used for?
Linden has been used to induce sweating for feverish colds and infections, to reduce nasal congestion, and relieve throat irritation and cough. Linden has sedative effects and has been used to treat nervous palpitations and high blood pressure. It has also been added as an ingredient in lotions to relieve itchy skin. However, there is limited clinical information to support these uses.Traditional/Ethnobotanical usesSince the Middle Ages, the flowers of the linden tree have been used to promote sweating. Traditionally, the flowers have been used to treat flu, cough, migraine, nervous tension, ingestion, various types of spasms, liver and gall bladder disorders, diarrhea, and elevated arterial pressure associated with arteriosclerosis. Infusions of the flowers make a pleasant-tasting tea. Linden flowers were once believed so effective in treating epilepsy that one could be cured simply by sitting beneath the tree. In Greek mythology, ""Philyra,"" a nymph, was transformed into a linden tree after begging the gods not to leave her among mortals.
What is the recommended dosage?
Linden is available in several dosage forms, but there are no recent clinical studies to support a specific dosage. No more than 2 to 4 grams per day of linden in teas or other preparations for internal use should be consumed.
Contraindications
Although no recent clinical data has been published, the German Commission E monograph concluded that the linden flower is cardiotoxic; therefore, linden should not be consumed by patients with a history of heart disease.
Pregnancy/Lactation
Avoid use because of the lack of data.
Interactions
None well documented.
Side Effects
Reports exist of specific toxicity such as contact urticaria, allergy from Tilia fruit oils in rats, seasonal pollinosis, pesticide residues in linden-containing beverages, and contact dermatitis and rhinoconjunctivitis from exposure to linden wood sawdust in the workplace.
Toxicology
Frequent use of linden flower teas has been associated with heart damage occurring in rare cases.
References
1. Linden. Review of Natural Products. factsandcomparisons4.0 [online]. 2007. Available from Wolters Kluwer Health, Inc. Accessed April 9, 2007.Further informationAlways consult your healthcare provider to ensure the information displayed on this page applies to your personal circumstances.
Medical Disclaimer

More about linden
Professional resources

Linden (Advanced Reading)

Related treatment guides

Herbal Supplementation


"
