,Medicines,Description
131,Hibiscus,"


Roselle is native to tropical Africa, but today grows throughout many tropical areas. This annual herb produces elegant red flowers. The flowers
(calyx and bract portions) are collected when slightly immature. The major producing countries are Jamaica and Mexico.
What is Hibiscus used for?
Traditional/Ethnobotanical uses
The hibiscus has had a lengthy history of use in Africa and neighboring tropical countries. Its fragrant flowers have been used in sachets and perfumes. In areas of northern Nigeria, this plant has been used to treat constipation. Fiber from H. sabdariffa has been used to fashion rope as a jute substitute. The fleshy red calyx is used in the preparation of jams, jellies, and cold and warm teas and drinks. The leaves have been used like spinach. The plant is used widely in Egypt for the treatment of cardiac and nerve diseases and has been described as a diuretic. In Iran, drinking sour tea for the treatment of hypertension is a popular practice. It has been used in the treatment of cancers. Research reveals little or no evidence of these medicinal uses of hibiscus. The mucilaginous leaves are used as a topical emollient in Africa. In Western countries, hibiscus flowers often are found as components of herbal tea mixtures. In Thailand, people consume roselle juice to quench thirst. Karkade seed products (ie, karkade defatted flour, protein concentrate, protein isolate) have been studied for their nutritional and functional value.
Hypertension
A randomized clinical trial evaluated the effect of sour tea available commercially in Iran on essential hypertension in otherwise healthy volunteers. A decrease in blood pressure was seen. However, after cessation of drinking the sour tea, a rise in blood pressure occurred. Although no adverse effects were seen in this study, the use of sour tea for treating hypertension requires further study.
Antibacterial/Vermifuge
Aqueous extracts of hibiscus appear to exert a slight antibacterial effect. In laboratory and animal studies, worms were killed by hibiscus extracts. Research reveals little or no clinical data regarding the use of hibiscus as an antibacterial or vermifuge (kill worms).
Chemopreventive effects
Components of hibiscus have shown potential as a chemopreventative agent against tumor promotion in laboratory and animal studies. These components also possess anti-inflammatory properties. Research reveals little or no clinical data regarding the use of hibiscus as a chemopreventive agent.
Laxative effects
The plant has been used as a mild laxative. While animal studies show a mild cathartic effect, research reveals little or no human clinical data regarding the use of hibiscus as a laxative.
Other uses
Hibiscus has been studied for its use in preventing renal stone formation, as well as its respiratory and sedative effects. To date there is no clinical evidence to prove any of these beneficial medical effects. Additionally, hibiscus anthocyanins have shown antioxidant activity in protecting against hepatotoxicity in rats. Application and action in humans has yet to be investigated.
What is the dosage of Hibiscus?
There is no clinical evidence on which dosage recommendations can be based. Roselle has generally recognized as safe (GRAS) status as a foodstuff. A typical dose as a tea is 1.5 g.
Is Hibiscus safe?
Contraindications
Contraindications have not yet been identified.
Pregnancy/nursing
Documented adverse effects. Avoid use. Roselle has emmenagogue (to stimulate menstrual flow) effects.
Interactions
Hibiscus beverages may reduce chloroquine plasma levels, decreasing the effectiveness.
Side Effects
No data.
Toxicities
The flowers are considered relatively nontoxic. However, high doses have caused death in mice within 24 hours.
Copyright © 2006 Wolters Kluwer HealthFurther informationAlways consult your healthcare provider to ensure the information displayed on this page applies to your personal circumstances.
Medical Disclaimer"
132,Holly,"


Ilex species are evergreen trees or shrubs with stiff, leathery leaves. The flowers are often white and produce fruits that range in color from black to bright red or yellow.The genus Ilex consists of more than 400 species and requires a wet and equable climate. They are distributed worldwide except in arctic or arid regions. The major areas of distribution are Central and South America. The North American species are largely ornamental and derived from Central and South American species."
133,Hops,"


Hops is a perennial climbing vine extensively cultivated worldwide. Male and female flowers are located on separate plants. The cone-shaped fruits (known as strobiles) are collected in the fall and carefully dried. Hops is a member of the Cannabaceae (marijuana) family."
134,Horehound,"


Horehound is native to Europe and Asia and has been naturalized to other areas, including the US. It is a perennial, aromatic herb of the mint family. The plant has oval leaves covered with white, woolly hairs, and bears small, white flowers."
135,Horny Goat Weed,
136,Horse Chestnut,
137,Horseradish,"


Horseradish is a large-leafed, hardy perennial native to eastern Europe and western Asia. It is grown commercially for its thick, fleshy, white roots that have a strong, irritating, and intensely pungent taste."
138,Horsetail,"


This plant is native to Europe, North America, North Africa, and northern Asia. Horsetail is more closely related to ferns than to flowering plants and produces spore sacs. This rush-like perennial has hollow, pointed stems, scale-like leaves, and no flowers. Horsetail grows best in moist and shady areas."
139,Huperzine A,"


Club mosses are primitive, vascular plants that differ from true mosses by having specialized fluid-conducting tissues, but like mosses, they reproduce by means of spores, which are either clustered into small cones or borne in the axils of the small scale-like leaves. Plants older than 15 years may only grow to 10 cm in height. Some species of Lycopodium are called ground pine or creeping cedar, especially those that resemble miniature hemlocks with flattened fan-shaped branches that are often used for Christmas decorations."
140,Hyaluronic Acid,
141,Hyssop,"


Hyssop is a perennial plant which is native to the Mediterranean region and has been imported and naturalized in the US and Canada. It grows along roadsides and is sometimes found as a garden herb. Hyssop is quite similar in appearance to other members of the mint family. Its volatile oil possesses a highly aromatic camphor-like smell."
142,Inositol Hexaphosphate,
143,Ipecac,"


Also known as Psychotria ipecacuanha, ipecac is a small, perennial tropical plant that is native to the humid forests of Bolivia and Brazil where large plantations have been established to commercialize the collection of ipecac root. Much of the root crop continues to be harvested from the wild, particularly in South America. India also is an important producer of ipecac. At maturity, the roots have a dark brown or red covering, bitter taste, and musty odor."
144,Jojoba,"


Simmondsia chinensis is a desert shrub indigenous to Arizona, California, and northern Mexico. It grows in a number of deserts worldwide. It is a woody evergreen shrub with thick, leathery, bluish-green leaves and dark brown nutlike fruit. An equal number of male and female flowers are borne on separate plants. The plant can withstand extreme daily fluctuations of temperature and thrives in well-drained, desert soils and coarse mixtures of gravel and clay. The mature plant produces about 5 to 10 pounds of seeds, which range in size between the coffee bean and peanut. It is an important forage plant for desert bighorn sheep and mule deer."
145,Juniper,"


The genus Juniperus includes 60 to 70 species of scented evergreens native to northern Europe, Asia, and North America. The plants bear blue or reddish fruit variously described as berries or berry-like cones. Junipers are widely used as ornamental trees. The cone is a small, green berry during its first year of growth that turns blue-black during the second year. Small flowers bloom from May to June."
146,Kalonji,
147,Kaolin Hydrated Aluminum Silicate,
148,Kava,
149,Kombucha,"


Kombucha is not a fungus or a mushroom, but rather a cellulose skin or mat fermented in a black tea and sugar mix. Kombucha tea is a resultant sour-tasting, fermented liquid broth, described as resembling sparkling apple cider. Black or green tea has been used, and a number of other beverages, teas (including fruit-based teas), Jerusalem artichoke, milk, and whey, have also been described."
150,Kudzu,"


Kudzu is a fast-growing vine native to the subtropical regions of China and Japan. The leaves of the plant contain 3 broad oval leaflets with purple flowers and curling tendril spikes. Because kudzu produces stems that can grow to 20 m (60 ft) in length with extensive roots, it has been used to control soil erosion. Since its introduction to the United States, kudzu has become well established and proliferates in moist southern regions, where it grows vigorously and is now considered an invasive pest."
151,L-arginine,"


Eggs, meats, milk, soy proteins, peanuts, and walnuts are all sources of arginine. The physiologically active form, L-arginine, is obtained by breaking down proteins. Arginine also may be synthesized in the laboratory. Because L-arginine may be synthesized in the body, it is classified as a nonessential amino acid in adults. However, in children and in people with certain conditions (eg, infection, trauma), L-arginine synthesis may become compromised and then may be considered semi-essential.
What is it used for?
Traditional/Ethnobotanical usesL-arginine is a nonessential amino acid that may play an important role in the treatment of heart disease due to its block arterial plaque buildup, blood clots, platelet clumping, and to increase blood flow through the coronary artery. L-arginine is commonly sold as a health supplement claiming to improve vascular health and treat erectile dysfunction in men. L-arginine, which is promoted as a human growth stimulant, has also been used in bodybuilding. In the 1800s, it was first isolated from animal horn.
What is the recommended dosage?
L-arginine has been studied at oral doses of 6 to 30 g/day for a variety of conditions. Many formulations have been used.
Contraindications
Absolute contraindications have not been identified. L-arginine is not recommended in patients following an acute heart attack.
Pregnancy/Lactation
Specific information regarding safety and efficacy during pregnancy and breast-feeding is lacking, although several trials have been conducted in pregnant women without notable ill effects.
Interactions
L-arginine has unpredictable effects on insulin and cholesterol-lowering agents. L-arginine may increase the effects of isosorbide mononitrate and other nitric oxide donors, such as glyceryl trinitrate and sodium nitroprusside.
Side Effects
L-arginine has few reported adverse reactions. Nausea and diarrhea have been reported infrequently. Bitter taste may occur with higher doses. Due to its ability to dilate blood vessels, low blood pressure may occur. Intravenous preparations containing L-arginine hydrochloride have a high chloride content that may increase the risk for metabolic acidosis in patients with electrolyte imbalances. Low potassium and high serum urea nitrogen levels may occur in patients with kidney and/or liver impairment.
Toxicology
High concentrations of nitric oxide, which can be produced by L-arginine, are considered toxic to brain tissue.
References
1. L-arginine. Review of Natural Products. Facts & Comparisons [database online]. St. Louis, MO: Wolters Kluwer Health Inc; October 2010.Further informationAlways consult your healthcare provider to ensure the information displayed on this page applies to your personal circumstances.
Medical Disclaimer

More about L-Arginine (arginine)

Side Effects
Drug Interactions
7 Reviews
Drug class: in vivo diagnostic biologicals

Consumer resources
Other brands: R-Gene 10
Professional resources

L-arginine (Advanced Reading)

Related treatment guides

Dietary Supplementation
Diagnosis and Investigation"
152,L-Theanine,
153,L-Tryptophan,
154,Lavender,"


Lavender plants are aromatic evergreen small shrubs native to the Mediterranean region, the Arabian peninsula, Russia, and Africa. The plant has small blue or purple flowers. Fresh flowering tops are collected, and the essential oil is distilled or extracts are obtained by extracting with solvents. Lavender is cultivated extensively for use as a perfume, in potpourri, and as an ornamental."
155,Lecithin,
156,Lemon Balm,
157,Lemon Verbena,"


Lemon verbena is a pleasant-smelling plant native to Argentina and Chile. The plant that is commonly cultivated in the tropics and Europe, and is grown commercially in France and North Africa. It bears small white flowers and has fragrant, lemon-scented narrow leaves."
158,Licorice,
159,Linden,"


Linden trees belong to the Tiliaceae family, which consists of nearly 80 species native to Europe and found in northern temperate regions. The 5-petaled, fragrant, yellow to white flowers are collected after spring bloom, dried, and carefully preserved. The flowers are the most valued medicinal components of the linden tree."
160,Lobelia,"


Lobelia is a perennial herb found in the eastern half of the United States and parts of Canada. The base of the violet-pinkish flowers ""inflates"" to form the seed capsule, which is the source of the name ""inflata."""
161,Lutein,
162,Lycopene,
163,Lysine,
164,Ma Huang,"


The 3 species of this shrubby plant that are sources of the drug are native to China, where the aboveground parts are collected in the fall and dried for drug use. The root of E. sinica or E. intermedia is known as ma huang gen and is considered to be a distinct drug, used for its anti-soporific (anti-sleep) properties."
165,Maca,"


The aerial part of maca has 12 to 20 leaves and the foliage forms a mat-like, creeping system of stems that grows close to the soil. The underground portion of the plant, known as the hypocotyl, is a storage organ and is the part that is used commercially. The hypocotyl can be a variety of colors, such as red, purple, cream, yellow, or black, and is 10 to 14 cm long and 3 to 5 cm wide; a cold climate seems to be critical for its formation or growth. Maca is cultivated in a narrow, high-altitude zone of the Andes Mountains in Peru. Maca has one of the highest frost tolerances of any cultivated plant, allowing it to grow at altitudes of 3,800 to 4,800 m above sea level in the puna and suni ecosystems, where only alpine grasses and bitter potatoes can survive. Maca and several related wild species also are found in the Bolivian Andes. While traditionally cultivated as a vegetable crop, use for its medicinal properties has become more prominent in Peru."
166,Maitake,"


The maitake mushroom is found in northeastern Japan but also grows and is cultivated in the United States and Europe. It grows in clusters at the foot of oak trees and can reach 50 cm in base diameter. One bunch can weigh up to 45 kg (100 lbs). Maitake has a rippling, flowery appearance resembling dancing butterflies, hence, one of its common names ""dancing mushroom""."
167,Marijuana,
168,Maritime Pine,"


P. pinaster Aiton (previously named Pinus maritima Mill.) and P. radiata are medium-sized pines growing up to 30 m tall with bright red-brown, deeply fissured bark. They have stout needles occurring in clusters, and produce oval cones 10 to 20 cm long. The tree is native to the western and southwestern Mediterranean regions but has rapidly naturalized to other countries, including the US, England, South Africa, and Australia. The largest man-made forest in the world, the 900,000 hectare Les Landes on the Atlantic coast of southwestern France is populated almost entirely by P. pinaster."
169,Maté,"


Maté is a tea brewed from the dried and minced leaves of Ilex paraguariensis  (yerba maté), an evergreen tree in the holly family that grows to 8 to 15 m in height. The green leaves are 8 cm long, alternate, ovate, and have a wedge-shaped base. The stalks are up to 15 mm long. The flowering stage produces white petals that may be clustered into groups of 1 to 15 flowers during the spring season. The fruits are red and contain 4 to 5 seeds. The species is native to Paraguay, Uruguay, northeastern Argentina, and southern Brazil and requires a relatively wet and moderate climate."
170,Meadowsweet,"


Meadowsweet is a herbaceous perennial shrub native to Europe, but also found in North America. Meadowsweet's ornamental wildflowers are creamy, yellow-white, and have an aroma similar to oil of wintergreen. The medicinal product consists of flower petals and some unopened buds, which are used as the drug."
171,Melatonin,
172,Methylsulfonylmethane (MSM),
173,Milk Thistle,
174,Mistletoe,"


Mistletoe is a hemiparasitic plant that grows on a wide variety of host trees such as pine, oak, birch, and apple. The term hemiparasitic is used to indicate that the mistletoe plant carries out photosynthesis independently but obtains water and minerals from the host."
175,Muira Puama,"


P. olacoides is a small tree, growing to about 14 feet tall, that is native to the Brazilian Amazon rainforest. Its leaves are light green with dark brown lower surfaces. The roots have a slightly salty and bitter taste."
176,Mullein,"


The common mullein, usually found throughout the US, is a woolly-leafed biennial plant. During its first year of growth, the large leaves form a low-lying basal rosette. In the spring of the second year, the plant develops a tall stem that can grow to more than 1.22 m in height. The top portion of the stem develops yellow flowers that have a faint, honey-like odor. This, along with the stamens, constitutes the active ingredient."
177,Myrrh,"


The Commiphora species that serve as sources of myrrh are thorny shrubs or small trees that grow to up to 3 meters high. They are native to Africa, eastern Mediterranean countries, and southern Arabia. A pale yellow-white viscous liquid exudes from natural cracks or fissures in the bark or from fissures cut intentionally to harvest the material. When air-dried, this exudate hardens into a reddish-brown mass that often contains white patches."
178,Neem,"


The neem (formerly known as Melia azadirachta L.) is a large evergreen tree that grows up to 20 m in height, with spreading branches that form a broad crown. The plant is found throughout India and neighboring regions, where it is cultivated commercially. The plant is often confused with Melia azedarach L., the chinaberry or Persian lilac. Leaves grow alternately with leaflets containing 8 to 19 leaves. The tree yields high-quality timber and a commercial gum."
179,Nettles,
180,Noni,"


The noni plant, native to Asia, Australia, and the islands of Polynesia, is a small, shrubby tree. The plant's white flowers are tubular. The fruit is yellow-greenish-white in color and large, with a pebbled surface. The ripe fruit has a characteristic cheese-like, bad odor."
181,Oats,"


Oats are hardy annual grasses able to withstand poor soil conditions and are best adapted to areas with a cool, moist climate. Russia, the US, Finland, and Poland are the world's major oat-producing countries. The plant grows to about 61 to 91 cm in height with straight, hollow, blade-like leaves. The flowers, which contain 2 or 3 florets, are clustered at the top of the plant. Oat grain grows enclosed in 2 hulls that protect it during development. It contains 3 main structures: the bran, endosperm, and the germ."
182,Olive Leaf,"


The olive tree is an evergreen that is native to the Mediterranean region. The trees also are cultivated in areas with similar climates in the Americas. The small, leathery leaves are gray-green on top, and the undersides contain fine, white, scale-like hairs. The leaves are gathered throughout the year."
183,Olive Oil,
184,Onion,"


The onion plant is a perennial herb with hollow cylindrical leaves. On top of the long stalk are greenish-white flowers, and the seeds of the plant are black and angular. The underground bulb is used both medicinally and as a food."
185,Oregano,"


Common or wild oregano is a perennial plant native to the Mediterranean region and Asia and cultivated in the United States. Its creeping rootstock produces a square, downy, purplish stem with leaves that are dotted with small depressions. Purple, two-lipped flowers grow in clusters.O. vulgare subspecies hirtum has a spicy flavor. This subspecies of oregano has furry leaves and floppy white flowers. Mexican oregano is similar in properties but comes from a different plant, Lippia graveolens Kunth."
186,Pantothenic Acid,
187,Papaya,"


Papaya is a small, bushy tree with a hollow trunk, large palmate leaves, and oblong smooth-skinned fruits (melons). The melons are usually picked in a green state and allowed to ripen. When ripe, the flesh is sweet and juicy and similar in taste to other melons."
188,Parsley,"


Parsley is an annual herb indigenous to the Mediterranean region, but now cultivated worldwide. It has erect stems and bright green leaves. Two cultivars of parsley exist: a curly leaf type and a flat leaf type. Parsley produces an umbel of tiny flowers and characteristic ribbed seeds.Caution must be used when gathering wild parsley because of the general similarity of its leaves and flowers to 3 common poisonous plants. The first, Aethusa cynapium (dog poison, fool's parsley, small hemlock) may be distinguished from parsley by the shiny, yellow-green underside of the leaves, which are dull in parsley, and the white flowers, which are yellowish in parsley. Similarly, collectors should be aware of Conium maculatum (poison hemlock, water hemlock, poison parsley) and Cicuta maculata (water hemlock). Poison hemlock is a much larger plant than common parsley. Poisonings have occurred when the leaves of Conium were mistaken for parsley and the seeds for anise. Symptoms of Conium and Cicuta poisoning include vomiting, diarrhea, weakness, paralysis, weak pulse, dilated pupils, convulsions, and death."
189,Passion Flower,
190,Pectin,
191,Pennyroyal,"


Both plants are members of the mint family and both are referred to as pennyroyal. H. pulegioides (American pennyroyal) grows in woods through most of the northern and eastern US and Canada while M. pulegium is found in parts of Europe. Pennyroyal is a perennial, creeping herb with small, lilac flowers at the stem ends. The leaves are grayish green and, like other mint family members, very aromatic."
192,Peppermint,
193,Periwinkle,"


Although the plant is said to be native to the West Indies, it first was described in Madagascar. The periwinkle is a perennial herb with flowers that can bloom throughout the year, depending on the climate. These often are bred for their unique colors, ranging from white to green-yellow and lavender. Also referred to as Lochnera rosea, Vinca rosea, and Ammocallis rosea. The related plant Vinca minor (common periwinkle, Myrtle) is used as a ground cover."
194,Peru Balsam,"


Peru balsam is a tall tree native to Central and South America. The plant bears evergreen leaves and white flowers. The hardwood tree contains oil that is naturally resistant to insects and has a characteristic scent."
195,Pineapple,"


The well-known pineapple fruit is actually a complex flower head that forms around the stem. Each of the eyes on the surface is the dried base of a small flower. The pineapple is the only cultivated fruit whose main stem runs completely through it. The top crown of leaves contains a bud that, when mature, indicates that the fruit is ready for cutting. The crowns from the top of the fruit are usually used for propagation because pineapples contain no viable seeds; occasionally, slips from the base of the fruit or suckers are used if planting material is in short supply. The plant grows to a height of 1 m; the first crop is ready for harvesting approximately 18 months after planting. Because the plant uses water very efficiently, pineapple may be grown in areas of relatively low rainfall (50 to 200 cm)."
196,Plantain,"


Plantain is a perennial weed with almost worldwide distribution. There are about 250 species. P. lanceolata and P. major are among the most widely distributed, and they grow aggressively. Plantain is wind-pollinated, facilitating its growth where there are no bees and few other plantain plants. P. major produces 13,000 to 15,000 seeds per plant, and the seeds have been reported to remain viable in soil for up to 60 years. P. lanceolata produces 2,500 to 10,000 seeds per plant and has a somewhat shorter seed viability. Plantain seeds can survive passage through the gut of birds and other animals, facilitating their distribution. Plantain, or psyllium seeds, are small (1.5 to 3.5 mm), oval, boat-shaped, dark reddish-brown, odorless, and nearly tasteless. They are coated with mucilage, which aids in their transportation by allowing adhesion to various surfaces."
197,Poison Ivy,
198,Policosanol,
199,Probiotics,
200,Propolis,"


Propolis is a natural resin collected from the buds of conifers and other trees by honeybees. It is used by bees to seal walls and strengthen combs of hives, as well as to embalm dead invaders. It is a sticky, greenish-brown mass with a slight aromatic odor.
What is it used for?
Traditional/Ethnobotanical usesPropolis has been used as a medicinal agent since ancient times. It was used in folk medicine as early as 300 BC for cosmetic purposes, inflammation, and wound healing. It has been used internally and externally and is believed to kill bacteria, viruses, and fungi, to possess local anesthetic, antiulcer, and anti-inflammatory properties, and to lower blood pressure and stimulate the immune system.Propolis exhibits antimicrobial action against gram-positive bacteria, yeasts, and some viruses. Commonly used in oral and dental preparations, propolis may have a role in reducing tooth decay and oral ulcers and in promoting the health of injured teeth. Cytotoxicity of propolis and its chemical constituents has been demonstrated to stop the growth of tumor in animals and tumor cell; however, clinical studies in human cancer are lacking. Immune system effects, antioxidant actions, and effects on the heart have also been described.
What is the recommended dosage?
There is limited clinical evidence to support specific dosage recommendations for propolis.
Contraindications
Contraindications have not yet been identified.
Pregnancy/Lactation
Information regarding safety and efficacy in pregnancy and lactation is lacking.
Interactions
None well documented.
Side Effects
Allergic reactions with skin and mucous membrane irritations have been reported. Sensitization to propolis also has been reported.
Toxicology
Information regarding toxicology is lacking.
References
1. Propolis. Review of Natural Products. Facts & Comparisons [database online]. St. Louis, MO: Wolters Kluwer Health Inc; August 2010.Further informationAlways consult your healthcare provider to ensure the information displayed on this page applies to your personal circumstances.
Medical Disclaimer

More about propolis
Professional resources

Propolis (Advanced Reading)"
201,Pygeum,
202,Quercetin,
203,Raspberry,
204,Red Clover,
205,Red Yeast Rice,
206,Reishi Mushroom,"


The reishi mushroom is a purplish-brown fungus with a long stalk, brown spores, and a fan-shaped cap with a shiny, varnish-coated appearance. Reishi grows on decaying wood or tree stumps, preferring the Japanese plum tree but also found on oak. The mushroom is native to China, Japan, and North America but is cultivated throughout other Asian countries. Cultivation of reishi is a long, complicated process. The reishi grows in 6 colors, each thought to have different characteristics and known as: Aoshiba (blue reishi), Akashiba (red reishi), Kishiba (yellow reishi), Shiroshiba (white reishi), Kuroshiba (black reishi), and Murasakishiba (purple reishi)."
207,Resveratrol,
208,Rhodiola Rosea,
209,Rose Hip,
210,Rosemary,"


Rosemary grows as a small evergreen shrub with thick aromatic leaves. The plant has small, pale-blue flowers that bloom in late winter and early spring. Although rosemary is native to the Mediterranean, it now is cultivated worldwide. Other types of rosemary include bog rosemary (Andromeda species) and wild or marsh rosemary (Ledum palustre)."
211,Royal Jelly,"


Royal jelly is a milky-white secretion produced by glands of worker honeybees to induce the superior growth and development of the queen bee. Royal jelly is the principal food of the honeybee queen."
212,Safflower,
213,Saffron,"


True saffron is native to Asia Minor and southern Europe. Its blue-violet, lily-shaped flowers contain orange stigmas (part of the pistil) and red style branches, which are collected to produce the spice saffron. Mature stigmas are collected by hand during a short blooming season. More than 200,000 dried stigmas, obtained from about 70,000 flowers, yield 0.5 kg of true saffron. Saffron commands as much as  per ounce in the American market.True saffron should not be confused with American saffron (safflower, Indian safflower), Carthamus tinctorius (family Asteraceae), that is produced from the tubular florets and is a lighter red than true saffron. The 2 often are used for the same purposes, and the less expensive American saffron sometimes is used to adulterate true saffron."
214,SAMe,
215,Sandalwood,"


Sandalwood is an evergreen tree native to India and Indonesia and grows to 8 to 12 m in height and 2.5 m in girth. The bark is smooth and gray-brown in color, and the small flowers have numerous short stalks."
216,Sarsaparilla,"


Sarsaparilla is a woody, trailing vine that can grow to 50 m in length. Many Smilax species are similar in appearance, regardless of origin. The root of the plant is used for medicinal purposes, and the nectar-rich flowers are used in honey production. This root has a pleasant fragrance and spicy sweet taste, and has been used as a natural flavoring agent in medicines, foods, and nonalcoholic beverages. It should not be confused with the sassafras tree, which has the distinctive flavoring of American root beer."
217,Sarsparilla,"


Sarsaparilla is a woody, trailing vine, which is grown in the Mexico, Honduras, Jamaica, and Ecuador. Many Smilax species are very similar in appearance regardless of origin. The root of the plant is used for medicinal purposes. This root has a pleasant fragrance and spicy sweet taste, and has been used as a natural flavoring agent in medicines, foods, and non-alcoholic beverages. It should not be confused with the sassafras tree, which has the distinctive flavoring of American root beer.
What is it used for?
Traditional/Ethnobotanical uses
The French physician Nicholas Monardes described using sarsaparilla to treat syphilis in 1574. In 1812, Portuguese soldiers suffering from syphilis recovered faster if sarsaparilla was taken to treat the disease instead of mercury, the standard treatment at the time. Sarsaparilla has been used by many cultures for other ailments as well, including skin problems, arthritis, fever, digestive disorders, leprosy, and cancer. Late 15th century accounts explaining the identification and the first descriptions of American drugs include sarsaparilla. Sarsaparilla's role as a medicinal plant in American and European remedies in the 16th century also is evident.
Sarsaparilla has been used for treating syphilis and other sexually transmitted diseases (STDs) throughout the world for 40 years. It has been used for psoriasis, and was documented as an adjuvant for leprosy treatment in 1959.
Miscellaneous uses
The ability of sarsaparilla to bind to endotoxins may be a possible mechanism of action as to how the plant exerts its effects. Problems associated with high endotoxin levels circulating in the blood stream such as liver disease, psoriasis, fevers, and inflammatory processes, all seem to improve with sarsaparilla. Research reveals no clinical data regarding the use of sarsaparilla for anti-inflammatory effects. A recent review addresses smilax compounds present in bodybuilding supplements said to “enhance performance.” Results of the study of more than 600 commercially available supplements determined that there was no research to validate these claims.
What is the recommended dosage?
Typical doses of sarsaparilla for a variety of uses range from 0.3 to 2 g/day of the powdered root.
How safe is it?
Contraindications
Contraindications have not yet been identified.
Pregnancy/nursing
Information regarding safety and efficacy in pregnancy and lactation is lacking.
Interactions
None well documented.
Side Effects
No major contraindications, warnings, or side effects have been documented. Avoid excessive ingestion. In unusually high doses, the plant may be harmful, including GI irritation.
Toxicities
Research reveals little or no information regarding toxicology with the use of sarsaparilla.
References


Sarsaparilla. Review of Natural Products. factsandcomparisons4.0 [online]. 2005. Available from Wolters Kluwer Health, Inc. Accessed April 23, 2007.


Copyright © 2009 Wolters Kluwer HealthFurther informationAlways consult your healthcare provider to ensure the information displayed on this page applies to your personal circumstances.
Medical Disclaimer"
218,Sassafras,"


Sassafras is the name applied to 3 species of trees, 2 native to eastern Asia and 1 native to eastern North America. Fossils show that sassafras once was widespread in Europe, North America, and Greenland. All parts of the tree are strongly aromatic. The drug is from the peeled root of the plant (root bark). Synonyms are S. officinale and S. variifolium."
219,Saw Palmetto,
220,Schisandra,
221,Scullcap,"


Scullcap (S. laterifolia), a member of the mint family, is native to the US where it grows in moist woods. Although it is widely distributed throughout large regions of North America, there are related species found as far away as China. Scullcap is an erect perennial with bluish flower. Official compendia (eg, NF VI) recognized only the dried overground portion of the plant as useful; however, some herbal texts listed all parts as medicinal. A number of species have been used medicinally, and the most common European variety has been S. baicalensis, a native of East Asia."
222,Seaweed,"


Seaweeds are marine algae, saltwater-dwelling, simple plants, including red, brown, and green algae. Most algae have root-like structures called holdfasts that anchor the plant to rocks and other substrates. While blue-green species are called algae, they are actually bacteria."
223,Senna,
224,Serrapeptase,
225,Shark Derivatives,"


Shark cartilage is prepared from the cartilage of freshly caught sharks in the Pacific Ocean. The cartilage is cut from the shark, cleaned, shredded, and dried. One of the main processing plants for dogfish shark is in Costa Rica. The finely ground cartilage is uniformly pulverized (in a 200 mesh screen), sterilized, and encapsulated.Squalamine originally was isolated from shark stomachs, but has subsequently been synthesized. This compound is still in the experimental stage and is not yet commercially available."
226,Shark Liver Oil,"


SLO is commercially produced from several species of deep sea sharks' livers. SLO is a major natural source of squalene, a natural organic compound, and alkyglycerols, compounds that may fight cancer."
227,Slippery Elm,"


The slippery elm tree is native to eastern Canada and eastern and central US, where it is found most commonly in the Appalachian mountains. The trunk is reddish brown with gray-white bark on the branches. In the spring, dark brown floral buds appear and open into small, clustered flowers at the branch tips. White elm (U. americana) is a related species used in a similar manner."
228,SOD,"


Superoxide dismutase (SOD, orgotein) is an ubiquitous enzyme that has received attention because of its therapeutic activity and because of claims that its ingestion may improve health and lengthen the human lifespan. At least 3 distinct types of the enzyme are found in humans and other mammals.A highly reactive superoxide free radical is generated as a toxic metabolite in a wide range of normal biological reactions that reduce oxygen. Since the superoxide radical is toxic to normal living cells, the enzyme superoxide dismutase, which is present in all cells, catalyzes the conversion of superoxide to the harmless components oxygen and hydrogen peroxide."
229,Soy,
230,Spirulina,
231,St. John's Wort,
232,Stevia,"


Stevia is a perennial shrub indigenous to northern South America, but commercially grown in areas such as Central America, Israel, Thailand, and China. The leaves are the parts of the plant used. Stevia is a member of the daisy (Asteraceae) family."
233,Sweet Wormwood,
234,Taheebo,"


Tabebuia is a large genus of tropical trees that grows worldwide. According to one source, the correct name for the source species is T. impetiginosa; however, the majority of biological and chemical studies of the plant refer to T. avellaneda. The commercial product is derived from the inner bark. The tree grows widely throughout tropical South America, including Brazil, Paraguay, and northern Argentina. It has a hard, durable, and attractive wood that is extremely resistant to insect and fungal attack."
235,Taurine,
236,Tea Tree Oil,
237,Turmeric,
238,Tylophora,
239,Tyrosine,
240,Ubiquinone,
241,Uva Ursi,
242,Valerian,
243,Vanadium,
244,Vervain,"


Vervain is a slender perennial plant with small, pale lilac flowers borne on leafless spikes. It is indigenous to the Mediterranean but has been cultivated widely throughout eastern Europe, North Africa, China, and Japan. The name ""verbenae"" originally was used in Roman times to describe all plants used on altars for their aromatic qualities."
245,Vinpocetine,
246,Vitamin E,"


Vitamin E is a generic term for a group of tocol and tocotrienol derivatives. It is a fat-soluble vitamin that exists in a variety of forms in many foods (eg, spinach, nuts, sunflower seeds, olives, asparagus, vegetable oils, mangoes, wheat germ, whole-wheat breads). The most common form in a Western diet is alpha-tocopherol. The most important chemical characteristic is its antioxidant property, which in foods, blocks the addition of oxygen to fats, causing rancidity. In the body, antioxidants may prevent formation of reactive oxygen species, which can cause damage to proteins and DNA in tissues."
